Kode_Bahan,Nama_Bahan,Kelompok_Pangan,Jenis_Pangan,Air(g),Energi(Kal),Protein(g),Lemak(g),KH(g),Serat(g),Kalsium(g),Fosfor(g),Besi(g),Natrium(g),Kalium(g),Tembaga(g),Thiamin(g),Riboflavin(g),VITC(g)
FR017,"Domba, daging, kurus, segar",F,R,66.3,202,17.1,14.8,0,0,0.01,0.191,0.0026,0.09,0.355,0.0001,0.0002,0.0003,0
FR018,"Domba, ginjal, segar",F,R,77.8,100,16.6,3.3,1,0,0.013,0.237,0.0092,0.155,0.276,0.0005,0.0005,0.0024,0.013
FR019,"Kambing, daging, segar",F,R,70.3,149,16.6,9.2,0,0,0.011,0.124,0.001,0.096,0.2687,0.0003,0.0001,0.0002,0
FR020,"Kelinci, daging, segar",F,R,74.3,142,16.9,7.8,0,0,0.007,0.35,0.001,0.049,0.3711,0,0.0001,0.0001,0
FR021,"Kerbau, daging, segar",F,R,80,79,18.7,0.5,0,0,0.014,0.221,0.0033,0.091,0.273,0.0001,0.0001,0.0002,0
FR022,"Kuda, daging, segar",F,R,76,113,18.1,4.1,0.9,0,0.01,0.15,0.0027,0.046,0.3157,0.0001,0.0001,0.0001,0
FR023,"Sapi, babat, segar",F,R,76.7,108,17.6,4.2,0,0,0.012,0.144,0.001,0.147,0.1014,0.0001,0.0002,0.0002,0
FR024,"Sapi, daging, gemuk, segar",F,R,60,273,17.5,22,0,0,0.01,0.15,0.0026,0.093,0.267,0.0002,0.0001,0.0002,0
FR025,"Sapi, daging, kurus, segar",F,R,69,174,19.6,10,0,0,0.011,0.181,0.0029,0.083,0.489,0.0001,0.0001,0.0005,0
FR026,"Sapi, daging, lemak sedang, segar",F,R,66,201,18.8,14,0,0,0.011,0.17,0.0028,0.105,0.378,0.0046,0.0001,0.0006,0
FR027,"Sapi, daleman, segar",F,R,70.1,183,12,14.4,1.4,0,0.043,0.319,0.0018,0.277,0.16,0.0001,0.0003,0.0002,0
FR028,"Sapi, dideh/darah",F,R,75.6,98,21.9,1.1,0,0,0.007,0.024,0.0013,0.15,0.17,0,0,0,0
FR029,"Sapi, ginjal, segar",F,R,74.9,137,15,8.1,0.9,0,0.009,0.221,0.0079,0.2,0.2302,0,0.0004,0.0012,0.013
FR030,"Sapi, keleponan, segar",F,R,83.8,84,10.5,4.6,0.2,0,0.02,0.013,0.0021,0.073,0.318,0.0002,0.0001,0.0001,0
FR031,"Sapi, liver, segar",F,R,69.7,132,19.7,3.2,6,0,0.007,0.358,0.0066,0.11,0.213,0.0005,0.0003,0.0015,0.031
FR032,"Sapi, otak, segar",F,R,78.9,123,10.4,8.6,0.8,0,0.016,0.33,0.0036,0.112,0.2438,0.0003,0.0002,0.0002,0.018
FR033,"Sapi, usus, segar",F,R,76.7,126,14,7.2,1.5,0,0.014,0.115,0.004,0,0,0,0.0001,0.0003,0
FR034,Ulat sagu segar,F,R,65.9,241,5.8,21.6,5.8,2.8,0.02,0.07,0.0005,0.21,0.21,0.001,0.0002,0.0015,0
FP001,"Ayam, ampela, goreng",F,P,4.8,270,32.3,11.2,9.9,0,0.129,0.314,0.0049,0.98,0,0.0001,0.0002,0,0
FP002,"Ayam, usus, goreng",F,P,4.6,473,45.2,26.3,13.9,0,1.407,0.458,0.0084,0,0,0,0.0006,0,0
FP003,"Bebek, daging, goreng",F,P,48.8,300,24,20.7,4.5,0,0.17,0.17,0.0041,0.034,0.006,0.0004,0.0001,0.0004,0
FP004,"Buaya, daging, dendeng",F,P,12.3,365,49.6,4.8,30.8,0,0.06,0.13,0.0043,0.5,0.68,0.0002,0,0,0
FP005,Ham,F,P,42,384,16.9,35,0.3,0,0.01,0.136,0.0025,0.112,0.8193,0.0001,0.0007,0.001,0
FP006,"Itik alabio, daging, dendeng, mentah",F,P,12.7,496,30.3,33.5,18.4,0,0.135,0.37,0,0,0,0,0,0,0
FP007,Kerupuk urat,F,P,3.6,588,53.7,40.9,1.2,0,0.036,0.015,0.0013,1.024,0.037,0.0001,0,0,0
FP008,"Menjangan, daging, dendeng, mentah",F,P,14.3,322,55.8,2,22.7,0,0.055,0.31,0.0021,0.765,1.282,0.0017,0,0,0
FP009,"Punai, daging, goreng",F,P,54.5,224,26.2,11.3,4.4,0,0.362,0.362,0.0031,0.002,0.019,0.0003,0,0,0
FP010,"Rusa, daging, dendeng, mentah",F,P,18.3,536,40.5,41.5,0,0,0.09,0.42,0.0134,0.13,0.69,0.0003,0,0,0
FP011,"Sapi, abon",F,P,7.1,212,18,10.6,59.3,7.5,0.15,0.209,0.0123,0,0,0,0.0002,0,0
FP012,"Sapi, abon, asli",F,P,24.8,358,14.6,16.1,38.6,2.5,0.165,0.136,0.0146,0,0,0,0.0001,0,0
FP013,"Sapi, daging, asap",F,P,60,182,32,6,0,0,0.015,0.3,0.005,1.62,0.4854,0,0.0001,0.0002,0
FP014,"Sapi, daging, dendeng, mentah",F,P,25,301,55,9,0,0,0.03,0.37,0.0051,0,0,0,0.0001,0,0
FP015,"Sapi, daging, kornet",F,P,53,289,16,25,0,0,0.01,0.17,0.004,0.794,0.0944,0.0001,0,0.0002,0
FP016,"Sapi, daging, sosis (worst)",F,P,37.6,448,14.5,42.3,2.3,0,0.028,0.061,0.0011,0.765,0.2845,0.0001,0.0001,0.0002,0
FP017,"Sapi, hati, sosis(liverworst)",F,P,56.6,274,16,22,3,2.3,0.02,0.15,0.004,0.654,0.1588,0.0002,0.0002,0.001,0
FP018,"Sapi, paru, dendeng, mentah",F,P,9.7,360,57.3,6,19.2,0,0.126,0.903,0.0211,1.483,0.864,0.0012,0,0,0
FP019,"Sapi, paru, goreng",F,P,45.5,268,23.9,12.7,14.5,0,0.102,0.315,0.0088,0.923,0.299,0,0,0,0
FP020,"Ulat sagu, panggang",F,P,41.3,380,11.9,30.3,14.9,4.8,0.03,0.12,0.0015,0.26,0.55,0.0031,0.0005,0.0025,0
FP021,"Ayam goreng church texas, dada",F,P,42.2,338,35.2,20.6,0.4,0,0.079,0.221,0.0056,0.8,0.3695,0.0002,0.0005,0.0002,0
FP022,"Ayam goreng church,texas paha",F,P,50.3,287,31,15.7,1.7,0,0.099,0.176,0.0041,0.723,0.257,0.0002,0.0007,0.0002,0
FP023,"Ayam goreng church texas, sayap",F,P,47.2,295,34,16,1.5,0,0.081,0.179,0.003,0.771,0.2372,0.0002,0.0004,0.0001,0
FP024,"Ayam goreng kalasan, paha",F,P,46.2,275,37.4,12.2,1.3,0,0.116,0.237,0.0058,0.176,0.3219,0.0002,0.0001,0,0
FP025,"Ayam goreng kentucky, dada",F,P,46.5,298,34.2,16.8,0.1,0,0.09,0.284,0.0055,0.741,0.342,0.0001,0.0002,0,0
FP026,"Ayam goreng Kentucky, paha",F,P,48.7,286,32.1,16.1,1.1,0,0.089,0.248,0.0069,0.746,0.2652,0.0001,0.0005,0.0002,0
FP027,"Ayam goreng Kentucky,sayap",F,P,44.7,297,35.9,15.2,1.6,0,0.103,0.227,0.0044,0.807,0.2484,0.0001,0.0007,0.0001,0
FP028,Ayam goreng mbok berek dada,F,P,43.4,295,39.2,13.6,1,0,0.114,0.278,0.0054,0,0,0,0.0002,0,0
FP029,"Ayam goreng pasundan, dada",F,P,50.1,246,37.9,9,0.7,0,0.09,0.26,0.0075,0,0,0,0.0002,0,0
FP030,"Ayam goreng pasundan, paha",F,P,52.8,245,33.1,11.4,0.3,0,0.09,0.283,0.0073,0,0,0,0.0004,0,0
FP031,"Ayam goreng pioneer, dada",F,P,44.5,295,37.4,14.7,0.6,0,0.108,0.236,0.0068,0,0,0,0.0001,0,0
FP032,"Ayam goreng sukabumi, dada",F,P,49.8,244,36.7,9.2,1,0,0.081,0.154,0.0061,0,0,0,0.0007,0,0
FP033,"Ayam goreng sukabumi, paha",F,P,46,283,35.7,14.3,0.5,0,0.068,0.106,0.0054,0,0,0,0.0004,0,0
FP034,"Ayam taliwang, masakan",F,P,57.5,264,18.2,20.1,2.7,0,0.094,0.164,0.002,0.507,0.408,0.0004,0,0,0
FP035,"Babi hutan masak rica, masakan",F,P,56.2,491,24.6,16.3,0.2,0,0.018,0.144,0.0012,1.415,0.327,0.0002,0.0006,0.0005,0
FP036,Beef burger,F,P,45.5,258,10.6,9.5,32.5,0.4,0.21,0.157,0.0026,0.572,0.1891,0,0.001,0,0
FP037,"Beef teriyaki, masakan",F,P,65.1,151,8.6,3.1,22.3,0.3,0.142,0.062,0.0023,0.377,0,0,0.0005,0,0
FP038,"Beef yakiniku, masakan",F,P,67.7,132,9.8,1.1,20.7,0.3,0.302,0.067,0.002,0.409,0,0,0.0006,0,0
FP039,Brongkos,F,P,76.4,141,15.3,3.3,12.6,1,0.087,0.097,0.0051,0,0,0,0.0004,0,0
FP040,"Bulgogi, masakan",F,P,84.2,72,11.4,4.9,1.4,1.7,0.214,0.086,0.0025,0.509,0,0,0.0011,0,0
FP041,"Chicken teriyaki,masakan",F,P,68.2,168,13,9.6,7.5,0.8,0.137,0.106,0.0031,0.959,0,0,0.0007,0,0
FP042,"Chikiniku, masakan",F,P,65.4,143,9.8,1.4,22.8,0.4,0.301,0.063,0.002,0.531,0,0,0.0007,0,0
FP043,"Coto mangkasara, kuda, masakan",F,P,83.5,96,6.8,5.9,3.8,0,0.011,0.106,0.0023,0.096,0.031,0.0001,0.0002,0.0001,0
FP044,"Coto mangkasara, sapi, masakan",F,P,85.9,84,6,6,1.4,0,0.008,0.104,0.004,0.09,0.025,0.0003,0.0002,0.0001,0
FP045,"Djibokum, masakan",F,P,43.4,248,10,2.3,40.9,0.1,0.116,0.11,0.0028,0.401,0,0,0.0008,0,0
FP046,"Empal (daging) Goreng, masakan",F,P,43.9,248,36.2,6.9,10.1,0,0.131,0.235,0.0064,0.848,0,0,0.0006,0,0
FP047,Gulai kambing,F,P,78.4,126,4.2,9.4,6.2,0,0.045,0.073,0.0013,0.302,0.138,0.0002,0.0001,0,0
FP048,"Jangang bintatoeng, masakan",F,P,73.6,107,5.3,2.2,16.5,0,0.064,0.061,0.0025,0.482,0.406,0.0002,0.0002,0,0
FP049,"Kalio ayam, masakan",F,P,64.7,203,16,13.5,4.4,0,0.278,0.177,0.0042,0.534,0,0,0.0004,0,0
FP050,"Kalio jeroan, masakan",F,P,68.9,163,16.5,9,4.1,0,0.102,0.268,0.0071,0.57,0,0,0.0007,0,0
FP051,"Kalio kikil (tunjang), masakan",F,P,75.3,122,13.8,5.7,3.9,0,0.154,0.059,0.0034,0.519,0,0,0.0004,0,0
FP052,"Kalio otak, masakan",F,P,70.3,157,8.1,8.8,11.4,0,0.212,0.069,0.0033,0.604,0,0,0.0005,0,0
FP053,"Lawar babi, masakan",F,P,68.8,174,17,10,3,0,0.061,0.141,0.003,0,0,0,0.0001,0,0
FP054,"Lawar penyu, masakan",F,P,66.3,141,23,1.5,7.6,0,0.069,0.141,0.006,0,0,0,0.0001,0,0
FP055,"Lawara jangang, masakan",F,P,72.4,159,5,10.9,10.1,0,0.057,0.107,0.0015,0.4,2.368,0.0001,0.0003,0.0002,0
FP056,"Naan maran sapi, masakan",F,P,14.8,478,38.3,33.9,5.1,0,0.03,0.39,0.0118,0.22,0.32,0.0006,0,0,0
FP057,"Nasu likku, masakan",F,P,59,196,14.5,8.3,15.9,0,0.069,0.157,0.001,0.386,0.47,0.0003,0.0002,0.0002,0
FP058,"Oramu ninahu ndawa olaho, masakan",F,P,74.9,117,13.7,5,4.3,0,0.964,0.804,0.002,0,0.727,0.0003,0.0008,0,0
FP059,"Paniki masak santan, masakan",F,P,25.4,460,28.5,35.2,7.2,0,0.188,0.357,0.0055,2.002,0.532,0.0004,0.0003,0.0002,0
FP060,"Pelolah manuk, masakan",F,P,60,219,19.7,13.6,4.4,0,0.033,0.16,0.0016,0.577,0,0,0.0004,0,0
FP061,"Rawon, masakan",F,P,86,60,5.4,2.5,4,0,0.272,0.153,0.0033,0,0,0,0.0001,0,0
FP062,"Rendang sapi,masakan",F,P,57.9,193,22.6,7.9,7.8,0,0.474,0.211,0.0149,0,0,0,0.0001,0,0
FP063,"RW, anjing, masakan",F,P,60.8,198,24.6,10.7,0.9,0,1.071,0.876,0.004,1.604,0.226,0.0001,0.0004,0.0002,0
FP064,"Sate, penyu, masakan",F,P,57.4,179,22.5,3.5,13.3,0,0.187,0.238,0.0144,0,0,0,0.0001,0,0
FP065,"Sate pusut, masakan",F,P,52.1,274,12.9,18.6,13.6,0,0.063,0.19,0.0027,0.609,0,0,0.0001,0,0
FP066,"Penyu, serapah, masakan",F,P,71.3,174,13.1,12.2,2.2,0,0.072,0.186,0.0095,0,0.507,0.0008,0,0,0
FP067,"Sie reuboh, masakan",F,P,32.4,474,11.2,42.5,11.7,0,0.026,0.062,0.0013,0.677,0.176,0.0024,0.0005,0.0003,0
FP068,"Sop buntut, masakan",F,P,86.1,71,7.5,3.6,2.2,0,0.286,0.038,0.0032,0.49,0,0,0.0001,0,0
FP069,"Sop daging sapi, masakan",F,P,87.5,49,5.8,0.5,5.3,0,0.158,0.048,0.0022,0.391,0,0,0.0004,0,0
FP070,"Sop kaki sapi, masakan",F,P,84.5,68,9,1.9,3.7,0,0.302,0.015,0.0022,0.435,0,0,0.0005,0,0
FP071,"Sop kambing,m masakan",F,P,91.6,34,5.5,0.8,1.1,0,0.145,0.037,0.0016,0.348,0,0,0.0006,0,0
FP072,"Sop konro, masakan",F,P,85,71,7.4,2.6,4.5,0,0.017,0.06,0.0046,0.184,0.025,0.0003,0.0001,0,0
FP073,"Sop saudara, masakan",F,P,82.4,89,7.2,5,3.9,0,0.01,0.174,0.009,0.274,0.05,0.0002,0.0001,0.0001,0
FP074,"Soto bandung, masakan",F,P,89.9,42,3.9,1.7,2.8,0.4,0.074,0.075,0.0018,0,0,0,0,0,0
FP075,"Soto banjar, masakan",F,P,83.7,110,2.9,9.5,3.2,0,0.028,0.028,0.0003,0.036,0.006,0,0.0001,0,0
FP076,"Soto betawi, masakan",F,P,75.9,135,2.5,8.8,11.5,0.5,0.222,0.072,0.0019,0,0,0,0,0,0
FP077,"Soto jeroan, masakan",F,P,81.4,92,11.8,4.3,1.4,0,0.218,0.048,0.0019,0.363,0,0,0.0004,0,0
FP078,"Soto kudus, masakan",F,P,91.6,38,2.6,2.3,1.8,0.2,0.237,0.067,0.0017,0,0,0,0.0001,0,0
FP079,"Soto madura, masakan",F,P,89.8,60,3.5,4.5,1.3,0,0.361,0.126,0.0038,0,0,0,0.0001,0,0
FP080,"Soto padang, masakan",F,P,75,127,5.9,6.6,11,0.7,0.298,0.094,0.0015,0,0,0,0.0002,0,0
FP081,"Soto pekalongan, masakan",F,P,83.8,94,3,6.8,5.1,0.3,0.322,0.079,0.002,0,0,0,0.0003,0,0
FP082,"Soto pemalang, masakan",F,P,86,75,3.6,5.2,3.5,0,0.17,0.08,0.0021,0,0,0,0.0001,0,0
FP083,"Soto sukaraja, masakan",F,P,75.9,80,3.2,3.5,9,0.3,0.347,0.077,0.0023,0,0,0,0,0,0
FP084,"Soto sulung, masakan",F,P,88.1,86,2.3,8.5,0,0,0.2,0.12,0.0029,0,0,0,0.0001,0,0
FP085,"Sukiyaki, masakan",F,P,81,75,5.6,0.4,12.2,0.2,0.109,0.059,0.0005,0.426,0,0,0.0004,0,0
FP086,"Tedong pallu basa, masakan",F,P,81.7,83,10.4,3.4,2.8,0,0.01,0.139,0.0026,0.397,0.034,0.0006,0.0001,0.0005,0
FP087,"Tikus rica, masakan",F,P,54.9,257,18.8,18.5,3.8,0,0.232,0.293,0.0065,1.724,0.308,0.0005,0.0003,0.0004,0
FP088,"Tinoransa, masakan",F,P,31.6,516,17.7,49.5,0,0,0.698,0.648,0.0035,1.307,0.32,0.0001,0.0003,0.0002,0
GR001,"Belut, segar",G,R,81.5,70,14.6,0.8,1,0,0.049,0.155,0.0015,0.055,0.169,0.0002,0.0002,0.0001,0
GR002,"Belut,laut, segar",G,R,79.5,93,12.8,1.5,6.1,0,0.06,0.199,0.003,0.033,0.1759,0.0001,0.0001,0,0
GR003,"Cumi-cumi, segar",G,R,82.2,75,16.1,0.7,0.1,0,0.032,0.2,0.0018,0.037,0.2041,0.0016,0.0001,0,0
GR004,"Ikan bader, segar",G,R,66,193,19,13,0,0,0.048,0.15,0.0004,0.118,0.2649,0.0001,0,0.0001,0
GR005,"Ikan balong, segar",G,R,76.5,107,16.5,3.9,1.5,0,0.054,0.202,0.002,0.086,0.2534,0.0005,0.0001,0.0001,0
GR006,"Ikan bambangan, segar",G,R,73.7,112,20,1.3,3.7,0,0.098,0.12,0.003,0.148,0.2587,0,0.0001,0,0
GR007,"Ikan bandeng, segar",G,R,74,123,20,4.8,0,0,0.02,0.15,0.002,0.067,0.2711,0,0.0001,0.0001,0
GR008,"Ikan banjar, segar",G,R,73.5,111,19.4,0.9,4.8,0,0.068,0.278,0.0073,0.099,0.3387,0.0002,0,0.0002,0
GR009,"Ikan baronang, segar",G,R,80,78,14.5,0.6,3.7,0,0.026,0.521,0.0038,0.026,0.692,0.0047,0.0002,0,0
GR010,"Ikan batung, segar",G,R,75.7,115,14.5,4.6,4.2,0,0,0.207,0,0.042,0.361,0.0002,0.0012,0,0
GR011,"Ikan baung, segar",G,R,74.9,123,15.1,5.5,3.3,0,0.005,0.146,0.0013,0.032,0.349,0.0001,0.0002,0,0
GR012,"Ikan bawal, segar",G,R,78,91,19,1.7,0,0,0.02,0.15,0.002,0.129,0.2333,0.0001,0.0001,0.0001,0
GR013,"Ikan Belida, segar",G,R,79.2,80,14.7,1.4,2.2,0,0.303,0.315,0.0013,0.041,0.356,0,0.0012,0.0001,0
GR014,"Ikan beunteur, segar",G,R,70,109,17,4,0,0,0.5,0.5,0.001,0.109,0.3235,0.0006,0.0001,0.0001,0
GR015,"Ikan biawan, segar",G,R,79.1,90,14.9,2.5,2.1,0,0.125,0.265,0.001,0.035,0.207,0.0004,0.0004,0,0
GR016,"Ikan bili, segar",G,R,68.3,88,14.2,0.7,6.2,0,0.027,1.76,0.0015,0.217,0.202,0,0.0007,0.0001,0
GR017,"Ikan bubara, segar",G,R,75.5,100,14.7,2.4,4.9,0,0.09,0.09,0.0004,0.39,0.39,0.0007,0,0,0
GR018,"Ikan bulan-bulan, segar",G,R,66.7,134,25.5,1.3,5,0,0.029,0.029,0.0005,0.197,0.489,0.0001,0.0003,0,0
GR019,"Ikan cakalang, segar",G,R,73,107,19.6,0.7,5.5,0,0.023,0.242,0.0029,0.066,0.239,0.0002,0.0002,0.0001,0
GR020,"Ikan cakalang, hati, segar",G,R,73.4,120,11.3,3.9,10,0,0.03,0.03,0.0009,0.42,0.28,0.0016,0,0,0
GR021,"Ikan cakalang, jantung, segar",G,R,76.3,116,11.2,1.2,10.2,0,0.01,0.04,0.0034,0.36,0.25,0.0005,0,0,0
GR022,"Ikan cakalang, perut, segar",G,R,79.1,86,10.2,1.1,8.7,0,0.02,0.11,0.0021,0.23,0.21,0.0003,0.0002,0,0
GR023,"Ikan daun, segar",G,R,78.6,101,11.5,4.1,4.6,0,0.08,0.21,0.0008,0.12,0.27,0.0001,0.0001,0.0001,0
GR024,"Ikan ekor kuning, segar",G,R,74.1,108,22.3,1.2,2.1,0,0.03,0.22,0.0005,0.05,0.23,0.0001,0,0.0001,0
GR025,"Ikan gabus, segar",G,R,79.6,80,16.2,0.5,2.6,0,0.17,0.139,0.0001,0.065,0.254,0.0003,0.0004,0.0002,0
GR026,"Ikan heu, segar",G,R,75.6,81,10,1.6,6.6,0,1.91,0.99,0.0021,0.24,0.21,0.0001,0.0009,0,0
GR027,"Ikan hitam, segar",G,R,78.2,101,10.3,3.7,6.7,0,0.05,0.14,0.0004,0.07,0.21,0,0,0.0001,0
GR028,"Ikan hiu, segar",G,R,85.7,57,10.7,0.3,2.2,0,0.075,0.206,0.002,0,0,0,0.0001,0,0
GR029,"Ikan kacangan, segar",G,R,80.7,77,15.6,0.9,1.6,0,0.094,0.17,0.0017,0,0,0,0.0001,0,0
GR030,"Ikan kakap, segar",G,R,77,92,20,0.7,0,0,0.02,0.2,0.001,0,0,0,0.0001,0,0
GR031,"Ikan kakatua, segar",G,R,79.7,82,11.4,1.2,6.4,0,0.02,0.16,0.0004,0.09,0.3,0.0001,0,0,0
GR032,"Ikan kalaban, segar",G,R,80.3,77,16.4,0.7,1.3,0,0.182,0.248,0.0009,0.04,0.334,0.0007,0.0002,0.0002,0
GR033,"Ikan kamera (kakap merah), segar",G,R,78.5,86,19.7,0.8,0,0,0.05,0.17,0.0003,0.09,0.29,0.0003,0,0.0001,0
GR034,"Ikan kapar, segar",G,R,74.2,132,17,6.7,0.8,0,0.151,0.272,0.0012,0.078,0.229,0.0009,0.0001,0,0
GR035,"Ikan kawalinya, segar",G,R,76.1,110,12.6,4.2,5.4,0,0.08,0.3,0.0015,0.34,0.3,0.0002,0,0,0
GR036,"Ikan keru-keru, segar",G,R,77.2,93,16.5,2.1,0.8,0,0.065,0.217,0.0024,0.137,0.2553,0.0003,0,0.0001,0
GR037,"Ikan kima, segar",G,R,82.1,70,10.8,0.7,5.2,0,0.053,0.072,0.002,0.342,0.101,0.0005,0.0002,0.0001,0
GR038,"Ikan lais, segar",G,R,65,161,11.9,11.5,2.4,0,0.07,0.237,0,0,0,0,0.0001,0,0
GR039,"Ikan layang, segar",G,R,74,109,22,1.7,0,0,0.05,0.15,0.002,0,0,0,0.0001,0,0
GR040,"Ikan layur, segar",G,R,80.1,82,18,1,0.4,0,0.048,0.229,0.0022,0,0,0,0,0,0
GR041,"Ikan lehoma, segar",G,R,77.6,90,20.4,0.9,0,0,0.088,0.27,0.0007,0.056,0.281,0.0003,0.0003,0,0
GR042,"Ikan lemuru, segar",G,R,76,112,20,3,0,0,0.02,0.1,0.001,0,0,0,0.0001,0,0
GR043,"Ikan lidah, segar",G,R,78.3,104,15.6,3.2,2,0,0.03,0.143,0.002,0,0,0,0,0,0
GR044,"Ikan malalugis, segar",G,R,75.6,99,20.6,1.4,0.9,0,0.164,0.33,0.0005,0.076,0.282,0.0002,0.0003,0,0
GR045,"Ikan mamar merah, segar",G,R,75,115,15.3,4,4.4,0,0.06,0.19,0.0016,0.12,0.24,0.0002,0.0002,0.0001,0
GR046,"Ikan mas, segar",G,R,80,86,16,2,0,0,0.02,0.15,0.002,0.065,0.2767,0.0001,0.0001,0.0001,0
GR047,"Ikan mayong, segar",G,R,78.2,97,17.9,2,0.4,0,0.04,0.1,0.0025,0,0,0,0.0001,0,0
GR048,"Ikan mujahir, segar",G,R,79.7,89,18.7,1,0,0,0.096,0.209,0.0015,0.051,0.2658,0,0,0.0001,0
GR049,"Ikan nasu metti, segar",G,R,65.3,154,16.8,5,10.5,0,0.08,0.244,0.0016,0.421,0.488,0.0002,0.0005,0.0002,0
GR050,"Ikan oci, kembung, segar",G,R,71.4,125,21.3,3.4,2.2,0,0.136,0.069,0.0008,0.214,0.245,0.0002,0.0003,0,0
GR051,"Ikan paling, segar",G,R,58,303,14,27,0,0,0.02,0.2,0.001,0.043,0,0,0.0001,0,0.002
GR052,"Ikan papuyu/ betok, segar",G,R,75,120,14.3,4.9,4.6,0,0.329,0.436,0.0015,0.24,0.169,0.0008,0,0.0001,0
GR053,"Ikan patin, segar",G,R,74.4,132,17,6.6,1.1,0,0.031,0.173,0.0016,0.077,0.346,0.0007,0.0002,0,0
GR054,"Ikan pomo, segar",G,R,68.3,147,22.5,5.2,2.6,0,0.08,0.23,0.0013,0,0.38,0.0002,0,0,0
GR055,"Ikan puntin, segar",G,R,81.1,76,14.4,1.1,2.2,0,0.028,0.166,0,0,0.325,0.0001,0.0003,0.0001,0
GR056,"Ikan saluang, segar",G,R,74.8,113,13.9,4.9,3.4,0,0.642,0.646,0.0019,0.051,0.182,0.0008,0.0002,0,0
GR057,"Ikan sarden, segar",G,R,72.7,109,19.9,1.8,3.4,0,0.095,0.597,0.0013,0.266,0.227,0.0003,0.0003,0,0
GR058,"Ikan selar, segar",G,R,75.4,100,18.8,2.2,0,0,0.04,0.179,0.0005,0.043,0.3926,0.0001,0.0004,0.0002,0
GR059,"Ikan sepat, segar",G,R,78.8,84,15.2,0.6,4.7,0,0.068,0.171,0.0021,0.211,0.198,0.0007,0.0002,0,0
GR060,"Ikan sidat, segar",G,R,71.3,81,11.4,1.9,3.8,0,0.118,0.174,0.003,0.046,0.2459,0,0,0.0004,0
GR061,"Ikan sunu, segar",G,R,75.5,111,13.3,3.4,6.7,0,0.086,0.174,0.0012,0.091,0.197,0,0.001,0.0001,0
GR062,"Ikan tahuman, segar",G,R,77.4,88,15.9,0.9,4.1,0,0.221,0.223,0,0.024,0.364,0.0004,0.0002,0.0003,0
GR063,"Ikan tarmon, segar",G,R,76.7,96,19.5,1.1,2,0,0.009,0.129,0.0003,0.043,0.154,0.0001,0.0002,0,0
GR064,"Ikan telan, segar",G,R,75.3,95,15.8,0.7,6.5,0,0.503,0.354,0.0002,0.058,0.294,0.0016,0.0002,0,0
GR065,"Ikan tembang, segar",G,R,65,204,16,15,0,0,0.02,0.2,0.002,0.341,0.291,0.0004,0.0001,0,0
GR066,"Ikan tempahas, segar",G,R,78.9,101,15.1,4.1,1,0,0.032,0.163,0,0.05,0.32,0.0007,0,0.0001,0
GR067,"Ikan terbang, segar",G,R,76.1,98,19.6,1.7,1,0,0.09,0.19,0.0006,0.09,0.32,0.0001,0,0.0001,0
GR068,"Ikan teri, segar",G,R,80,74,10.3,1.4,4.1,0,0.972,0.253,0.0039,0.554,0.1261,0.3052,0.0002,0.0001,0
GR069,"Ikan titang, segar",G,R,78.8,82,17.4,0.4,2.3,0,0.145,0.13,0.0018,0.11,0.275,0.0001,0.0006,0,0
GR070,"Ikan tongkol, segar",G,R,74.7,100,13.7,1.5,8,0,0.092,0.606,0.0017,0.202,0.227,0.0002,0.0004,0,0
GR071,"Ikan turi, segar",G,R,76.9,96,19.2,2,0.2,0,0.34,0.34,0.0008,0.37,0.3,0.0001,0,0,0
GR072,"Keong, segar",G,R,81,64,12,1,2,0,0.217,0.078,0.0017,0.231,0,0.0004,0,0,0
GR073,"Kepiting, segar",G,R,68.1,151,13.8,3.8,14.1,0,0.21,0.25,0.0011,0,0,0,0.0001,0,0
GR074,"Kerang, segar",G,R,78.2,101,14.4,2.6,3.9,0,0.321,0.27,0.0156,0,0,0,0,0,0
GR075,"Kodok, segar",G,R,81.9,73,16.4,0.3,0,0,0.018,0.147,0.0011,0,0,0,0.0001,0,0
GR076,"Kura-kura, segar",G,R,80,83,19.1,0.2,0,0,0.027,0.087,0.0007,0,0,0,0.0002,0,0
GR077,"Kuro, segar",G,R,79.9,87,16,2.2,1,0,0.075,0.136,0.001,0,0,0,0,0,0
GR078,"Lokan, segar",G,R,80.9,217,11,1.7,5.1,0,0.02,0.39,0.0109,0.003,0.007,0.0002,0.0005,0.0001,0
GR079,"Rajungan, segar",G,R,80.2,76,12.1,2,2.4,0,0.721,0.214,0.0022,0.069,0.192,0.0017,0.0002,0.0003,0
GR080,"Rebon, udang kecil, segar",G,R,79,81,16.2,1.2,0.7,0,0.757,0.292,0.0022,0.169,0.2029,0.0007,0,0.0001,0
GR081,Rusip,G,R,58.5,110,11.5,2,11.7,0,0.479,0.348,0.0071,0,0,0,0,0,0
GR082,"Udang galah, segar",G,R,79,81,16.5,0.3,3,0,0.087,0.167,0.0007,0.095,0.132,0.0007,0.0002,0,0
GR083,"Udang, besar, segar",G,R,85.5,56,11.4,0.6,1.2,0,0.03,0.02,0.0003,0.19,0.21,0.0004,0.0001,0,0
GR084,"Udang, segar",G,R,75,91,21,0.2,0.1,0,0.136,0.17,0.008,0.178,0.2224,0.0003,0,0.0004,0
GP001,"Bekicot, dendeng, mentah",G,P,6.7,441,48.7,20.3,15.8,0,0.692,0.523,0.0166,0,0,0,0,0.069,0
